Formula,Ecuaci�n,Stock,Sistem�tica,Tradicional
HNO3,Nomenclatura sistemática: trioxonitrato (V) de hidrógeno,Nomenclatura stock: ácido trioxonítrico (V),Nomenclatura tradicional: ácido nítrico,N2O5 + H2O = 2HNO3
HIO4,Nomenclatura sistemática: tetraoxoyodato (VII) de hidrógeno,Nomenclatura stock: ácido tetraoxoyódico (VII),Nomenclatura tradicional: ácido peryódico,N/A
HNO2,Nomenclatura sistemática: dioxonitrato (III) de hidrógeno,Nomenclatura stock: ácido dioxonítrico (III),Nomenclatura tradicional: ácido nitroso,H2O + N2O3 = 2HNO2
HBrO4,Nomenclatura sistemática: tetraoxobromato (VII) de hidrógeno,Nomenclatura stock: ácido tetraoxobrómico (VII),Nomenclatura tradicional: ácido perbrómico,Br2O7 + H2O = 2HBrO4
HPO3,Nomenclatura sistemática: trioxofosfato (V) de hidrógeno,Nomenclatura stock: ácido trioxofosfórico (V),Nomenclatura tradicional: ácido metafosfórico,N/A
H2SO3,Nomenclatura sistemática: trioxosulfato (IV) de hidrógeno,Nomenclatura stock: ácido trioxosulfúrico (IV),Nomenclatura tradicional: ácido sulfuroso,SO2 + H2O = H2SO3
H3PO4,Nomenclatura sistemática: tetraoxofosfato (V) de hidrógeno,Nomenclatura stock: ácido tetraoxofosfórico (V),Nomenclatura tradicional: ácido fosfórico,P4O10 + 6H2O = 4H3PO4
H2CO3,Nomenclatura sistemática: trioxocarbonato (IV) de hidrógeno,Nomenclatura stock: ácido trioxocarbónico (IV),Nomenclatura tradicional: ácido carbónico,CO2 + H2O = H2CO3
H4P2O7,Nomenclatura sistemática: heptaoxodifosfato (V) de hidrógeno,Nomenclatura stock: ácido heptaoxodifosfórico (V),Nomenclatura tradicional: ácido pirofosfórico,P4O10 + 4H2O = 2H4P2O7

Sc(OH)3,Nomenclatura sistemática: trihidróxido de escandio,Nomenclatura stock: hidróxido de escandio,Nomenclatura tradicional: hidróxido escándico,N/A
Ga(OH)3,Nomenclatura sistemática: trihidróxido de galio,Nomenclatura stock: hidróxido de galio,Nomenclatura tradicional: hidróxido gálico,N/A
Mn(OH)3,Nomenclatura sistemática: trihidróxido de manganeso,Nomenclatura stock: hidróxido de manganeso (III),Nomenclatura tradicional: hidróxido mangánico,N/A
NaOH,Nomenclatura sistemática: hidróxido de sodio,Nomenclatura stock: hidróxido de sodio,Nomenclatura tradicional: hidróxido sódico,N/A
Tl(OH)3,Nomenclatura sistemática: trihidróxido de talio,Nomenclatura stock: hidróxido de talio (III),Nomenclatura tradicional: hidróxido tálico,N/A
KOH,Nomenclatura sistemática: hidróxido de potasio,Nomenclatura stock: hidróxido de potasio,Nomenclatura tradicional: hidróxido potásico,N/A
Cd(OH)2,Nomenclatura sistemática: dihidróxido de cadmio,Nomenclatura stock: hidróxido de cadmio,Nomenclatura tradicional: hidróxido cádmico,N/A
U(OH)6,Nomenclatura sistemática: hexahidróxido de uranio,Nomenclatura stock: hidróxido de uranio (VI),Nomenclatura tradicional: hidróxido peruránico,N/A
RbOH,Nomenclatura sistemática: hidróxido de rubidio,Nomenclatura stock: hidróxido de rubidio,Nomenclatura tradicional: hidróxido rubídico,Rb2O + H2O = 2RbOH
CsOH,Nomenclatura sistemática: hidróxido de cesio,Nomenclatura stock: hidróxido de cesio,Nomenclatura tradicional: hidróxido césico,Cs2O + H2O = 2CsOH
Ta(OH)5,Nomenclatura sistemática: pentahidróxido de tántalo,Nomenclatura stock: hidróxido de tántalo (V),Tipo de compuesto: hidróxido,N/A
Pt(OH)4,Nomenclatura sistemática: tetrahidróxido de platino,Nomenclatura stock: hidróxido de platino (IV),Nomenclatura tradicional: hidróxido platínico,N/A

N2O3,Nomenclatura sistemática: trióxido de dinitrógeno,Nomenclatura stock: óxido de nitrógeno (III),Nomenclatura tradicional: anhídrido nitroso,2N2 + 3O2 = 2N2O3
MgO,Nomenclatura sistemática: monóxido de magnesio,Nomenclatura stock: óxido de magnesio,Nomenclatura tradicional: óxido magnésico,N/A
